1,11.1204,24.45494,10,10
2,14.48145,27.64685,10.69,11
3,16.73878,28.97652,11.24,12
4,17.25823,31.03206,11.89,13
5,17.65013,32.97979,12.56,14
6,19.4966,39.29712,13.55,15
7,20.78404,41.01724,14.26,16
8,20.7681,40.63942,14.97,17
9,21.93815,42.22296,15.68,18
10,23.0048,48.32547,16.21,19
11,22.91642,52.3967,17.1,20
12,25.63521,53.28197,18.14,21
13,22.39555,54.67965,18.16,22
1,11.10227,22.7879,10,10
2,14.77615,27.28392,10.71,11
3,16.78973,28.54647,11.46,12
1,11.94009,25.03446,10,10
